Country,injury_severity,aircraft_damage,aircraft_category,number_of_engines,engine_type,flight_purpose,weather_condition,fatal_injuries,serious_injuries,minor_injuries,uninjured,Year,make_model
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,IMC,2.0,0.0,0.0,0.0,2009,CESSNA 182
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Aerial Observation,VMC,1.0,0.0,1.0,0.0,2009,CESSNA A185E
United States,Non-Fatal,Substantial,Airplane,1.0,Turbo Prop,Unknown,VMC,0.0,0.0,0.0,7.0,2009,CESSNA 208B
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,1.0,0.0,2.0,2009,CESSNA T206H
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,1.0,0.0,0.0,2009,CESSNA 172S
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,1.0,0.0,0.0,2009,MOONEY M20J
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Air Race show,VMC,0.0,0.0,0.0,1.0,2009,PALEN AVRO-504K
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,1.0,1.0,0.0,2009,GOTTELT HERBERT R KITFOX IV/
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,CESSNA P206C
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,1.0,3.0,0.0,0.0,2009,PIPER PA-28-181
United States,Non-Fatal,Substantial,Airplane,1.0,Turbo Prop,Personal,VMC,0.0,1.0,0.0,0.0,2009,CESSNA P210N
United States,Non-Fatal,Destroyed,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,PIPER PA-32-260
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,SKISTMAS GEORGE PIETNPOL AIRCAMPER
United States,Non-Fatal,Unknown,Airplane,2.0,Turbo Fan,Unknown,VMC,0.0,0.0,0.0,194.0,2009,BOEING 767
United States,Fatal,Substantial,Airplane,2.0,Reciprocating,Personal,VMC,4.0,0.0,0.0,0.0,2009,PIPER PA-23-250
United States,Non-Fatal,Unknown,Airplane,2.0,Turbo Fan,Unknown,Unknown,0.0,0.0,0.0,152.0,2009,AIRBUS A320
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,1.0,0.0,0.0,0.0,2009,CESSNA T210G
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,1.0,0.0,2009,Argence Enas A. Christen Eagle
United States,Non-Fatal,Substantial,Airplane,2.0,Turbo Prop,Positioning,VMC,0.0,0.0,0.0,1.0,2009,AERO COMMANDER 690
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,2.0,0.0,0.0,0.0,2009,FUJI LM1
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Instructional,VMC,2.0,0.0,0.0,0.0,2009,CESSNA U206G
United States,Non-Fatal,Substantial,Airplane,2.0,Reciprocating,Instructional,VMC,0.0,0.0,0.0,2.0,2009,Piper PA-44-180
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,IMC,2.0,0.0,0.0,0.0,2009,Commander Aircraft Company 114-B
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,3.0,0.0,0.0,0.0,2009,PIPER PA 46-350P
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Instructional,VMC,0.0,0.0,0.0,1.0,2009,PIPER PA18
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Instructional,VMC,0.0,0.0,0.0,2.0,2009,PIPER J4
United States,Non-Fatal,Minor,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,CURTISS WRIGHT P-40E
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,SOCATA TB200
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,Golden Circle Tierra I
United States,Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,1.0,0.0,0.0,0.0,2009,CESSNA 172P
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,2.0,0.0,2009,PIPER PA28
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,1.0,2009,Elkins Christen Eagle II
United States,Fatal,Destroyed,Airplane,2.0,Turbo Prop,Personal,IMC,4.0,0.0,0.0,0.0,2009,BEECH B100
United States,Non-Fatal,Unknown,Airplane,2.0,Turbo Fan,Unknown,VMC,0.0,1.0,1.0,120.0,2009,BOEING 717-200
United States,Fatal,Destroyed,Airplane,1.0,Reciprocating,Personal,IMC,1.0,0.0,0.0,0.0,2009,BEECH A36TC
United States,Fatal,Destroyed,Airplane,1.0,Reciprocating,Personal,VMC,2.0,0.0,0.0,0.0,2009,AERONCA 7AC
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,1.0,0.0,0.0,2009,CESSNA 210
United States,Non-Fatal,Unknown,Airplane,2.0,Turbo Jet,Unknown,IMC,0.0,0.0,1.0,11.0,2009,BOEING 767-432ER
United States,Fatal,Destroyed,Airplane,1.0,Reciprocating,Personal,VMC,3.0,0.0,0.0,0.0,2009,CESSNA 177
United States,Non-Fatal,Substantial,Airplane,1.0,Reciprocating,Personal,VMC,0.0,0.0,0.0,2.0,2009,MOONEY M20F
